source_text,target_text,source_lang,target_lang,source_text_ner,target_text_ner,source_text_ner_tokens,target_text_ner_tokens
Have the Los Angeles Rams won a Super Bowl ring since moving back to Los Angeles?,ロサンゼルスに戻って以来、ロサンゼルスラムズはスーパーボウルリングを獲得しましたか？,en,ja,"['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-EVENT', 'I-EVENT', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O']","['B-GPE', 'O', 'O', 'O']","['Have', 'the', 'Los', 'Angeles', 'Rams', 'won', 'a', 'Super', 'Bowl', 'ring', 'since', 'moving', 'back', 'to', 'Los', 'Angeles', '?']","['ロサンゼルスに戻って以来', '、', 'ロサンゼルスラムズはスーパーボウルリングを獲得しましたか', '？']"
What governors of Ohio since 2000 have not been Republican?,2000年以降で、共和党員でなかったオハイオ知事は誰ですか？,en,ja,"['O', 'O', 'O', 'B-GPE', 'O', 'B-DATE', 'O', 'O', 'O', 'B-NORP', 'O']","['B-DATE', 'I-DATE', 'O', 'O', 'O']","['What', 'governors', 'of', 'Ohio', 'since', '2000', 'have', 'not', 'been', 'Republican', '?']","['2000', '年以降で', '、', '共和党員でなかったオハイオ知事は誰ですか', '？']"
Has there ever been a Christian U.S. senator?,キリスト教の米国上院議員は今までにいましたか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'B-NORP', 'B-GPE', 'O', 'O']","['O', 'O']","['Has', 'there', 'ever', 'been', 'a', 'Christian', 'U.S.', 'senator', '?']","['キリスト教の米国上院議員は今までにいましたか', '？']"
Which player has won the most World Series rings?,ワールドシリーズリングスを最も多く獲得したプレイヤーは誰ですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'O', 'O']","['O', 'O']","['Which', 'player', 'has', 'won', 'the', 'most', 'World', 'Series', 'rings', '?']","['ワールドシリーズリングスを最も多く獲得したプレイヤーは誰ですか', '？']"
Did The Beatles release Rubber Soul before Revolver?,ビートルズはリボルバーの前にラバーソウルをリリースしましたか？,en,ja,"['O', 'O', 'B-ORG', 'O', 'B-PRODUCT', 'I-PRODUCT', 'O', 'B-PRODUCT', 'O']","['O', 'O']","['Did', 'The', 'Beatles', 'release', 'Rubber', 'Soul', 'before', 'Revolver', '?']","['ビートルズはリボルバーの前にラバーソウルをリリースしましたか', '？']"
How many Pulitzer Prizes has Colson Whitehead won?,コルソンホワイトヘッドが獲得したピューリッツァー賞の数はいくつですか？,en,ja,"['O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O']","['O', 'O']","['How', 'many', 'Pulitzer', 'Prizes', 'has', 'Colson', 'Whitehead', 'won', '?']","['コルソンホワイトヘッドが獲得したピューリッツァー賞の数はいくつですか', '？']"
Did the movie Moana come out before 2015?,モアナと伝説の海は2015年より前に公開されましたか？,en,ja,"['O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'O', 'O', 'B-DATE', 'O']","['O', 'O']","['Did', 'the', 'movie', 'Moana', 'come', 'out', 'before', '2015', '?']","['モアナと伝説の海は2015年より前に公開されましたか', '？']"
"Which movie made more money, Joker or Suicide Squad (2016)?","""ジョーカーとスーサイド・スクワッド（2016年）では、どちらが多く興行収入をあげましたか？""",en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'O', 'O']","['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Which', 'movie', 'made', 'more', 'money', ',', 'Joker', 'or', 'Suicide', 'Squad', '(', '2016', ')', '?']","['""', 'ジョーカーとスーサイド', '・', 'スクワッド', '（', '2016', '年', '）', 'では', '、', 'どちらが多く興行収入をあげましたか', '？', '""']"
"Which movie was released first, Avengers: Endgame or Joker?","""アベンジャーズ/エンドゲームとジョーカーは、どちらが先に公開されましたか？""",en,ja,"['O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'O']","['O', 'B-WORK_OF_ART', 'O', 'O', 'O', 'O', 'O', 'O']","['Which', 'movie', 'was', 'released', 'first', ',', 'Avengers:', 'Endgame', 'or', 'Joker', '?']","['""', 'アベンジャーズ', '/', 'エンドゲームとジョーカーは', '、', 'どちらが先に公開されましたか', '？', '""']"
Was Friday the 13th released the same year as Halloween?,13日の金曜日とハロウィンは同じ年に公開されましたか？,en,ja,"['O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'B-DATE', 'O']","['O', 'O']","['Was', 'Friday', 'the', '13th', 'released', 'the', 'same', 'year', 'as', 'Halloween', '?']","['13日の金曜日とハロウィンは同じ年に公開されましたか', '？']"
Was Parasite released after 2015?,パラサイト半地下の家族は、2015年以降に公開されましたか？,en,ja,"['O', 'O', 'O', 'O', 'B-DATE', 'O']","['O', 'O', 'B-DATE', 'I-DATE', 'O']","['Was', 'Parasite', 'released', 'after', '2015', '?']","['パラサイト半地下の家族は', '、', '2015', '年以降に公開されましたか', '？']"
Did Citizen Kane come out before 1950?,『市民ケーン』が公開されたのは1950年より前ですか？,en,ja,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'B-DATE', 'O']","['B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O']","['Did', 'Citizen', 'Kane', 'come', 'out', 'before', '1950', '?']","['『', '市民ケーン', '』', 'が公開されたのは1950年より前ですか', '？']"
"Which movie had a higher lifetime gross, Jurassic World or The Lion King?","""『ジュラシックワールド』とライオンキング』では、どちらが興行収入は多かったですか？""",en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'O']","['Which', 'movie', 'had', 'a', 'higher', 'lifetime', 'gross', ',', 'Jurassic', 'World', 'or', 'The', 'Lion', 'King', '?']","['""', '『', 'ジュラシックワールド', '』', 'とライオンキング', '』', 'では', '、', 'どちらが興行収入は多かったですか', '？', '""']"
"Which Netflix series has been watched more, Bridgerton or Tiger King?","""『ブリジャートン家』と『タイガーキング』は、どちらがネットフリックスで視聴数が多いですか？""",en,ja,"['O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'O', 'B-PERSON', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']","['Which', 'Netflix', 'series', 'has', 'been', 'watched', 'more', ',', 'Bridgerton', 'or', 'Tiger', 'King', '?']","['""', '『', 'ブリジャートン家', '』', 'と', '『', 'タイガーキング', '』', 'は', '、', 'どちらがネットフリックスで視聴数が多いですか', '？', '""']"
Did Hurt Locker or Avatar have the smaller budget?,『ハート・ロッカー』や『アバター』は、低予算で作られましたか？,en,ja,"['O', 'B-PRODUCT', 'I-PRODUCT', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O']","['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O']","['Did', 'Hurt', 'Locker', 'or', 'Avatar', 'have', 'the', 'smaller', 'budget', '?']","['『', 'ハート', '・', 'ロッカー', '』', 'や', '『', 'アバター', '』', 'は', '、', '低予算で作られましたか', '？']"
Did Searching came out the same year as Halloween?,『search/サーチ』は、『ハロウィン』と同じ年に公開されましたか？,en,ja,"['O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'B-DATE', 'O']","['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O']","['Did', 'Searching', 'came', 'out', 'the', 'same', 'year', 'as', 'Halloween', '?']","['『', 'search', '/', 'サーチ', '』', 'は', '、', '『', 'ハロウィン', '』', 'と同じ年に公開されましたか', '？']"
Did Inception have a bigger budget than Dunkirk?,『インセプション』は『ダンケルク』よりも製作費が高かったですか？,en,ja,"['O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['O', 'B-WORK_OF_ART', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'O', 'O']","['Did', 'Inception', 'have', 'a', 'bigger', 'budget', 'than', 'Dunkirk', '?']","['『', 'インセプション', '』', 'は', '『', 'ダンケルク', '』', 'よりも製作費が高かったですか', '？']"
Did The Thing come out before Halloween?,『遊星からの物体X』が公開されたのは『ハロウィン』より前ですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O']","['B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O']","['Did', 'The', 'Thing', 'come', 'out', 'before', 'Halloween', '?']","['『', '遊星からの物体X', '』', 'が公開されたのは', '『', 'ハロウィン', '』', 'より前ですか', '？']"
Was Train to Busan released the same year as John Wick 2?,新感染ファイナル・エクスプレスは、ジョン・ウィック：チャプター2と同じ年に公開されましたか？,en,ja,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'B-PERSON', 'I-PERSON', 'B-CARDINAL', 'O']","['O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O']","['Was', 'Train', 'to', 'Busan', 'released', 'the', 'same', 'year', 'as', 'John', 'Wick', '2', '?']","['新感染ファイナル', '・', 'エクスプレスは', '、', 'ジョン', '・', 'ウィック', '：', 'チャプター2と同じ年に公開されましたか', '？']"
Do Michael Douglas and Catherine Zeta-Jones have the same birthday?,マイケル・ダグラスとキャサリン・ゼタ=ジョーンズは、誕生日が同じですか？,en,ja,"['O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O']","['Do', 'Michael', 'Douglas', 'and', 'Catherine', 'Zeta', '-', 'Jones', 'have', 'the', 'same', 'birthday', '?']","['マイケル', '・', 'ダグラスとキャサリン', '・', 'ゼタ', '=', 'ジョーンズは', '、', '誕生日が同じですか', '？']"
"Who has won more Academy Awards, Helen Mirren or Cate Blanchett?",ヘレン・ミレンとケイト・ブランシェットでは、どちらが多くのアカデミー賞を得ていますか？,en,ja,"['O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O']","['Who', 'has', 'won', 'more', 'Academy', 'Awards', ',', 'Helen', 'Mirren', 'or', 'Cate', 'Blanchett', '?']","['ヘレン', '・', 'ミレンとケイト', '・', 'ブランシェットでは', '、', 'どちらが多くのアカデミー賞を得ていますか', '？']"
"Which horror movie made more money at the US Box Office, The Happening (2008) or The Conjuring (2013)?",ハプニング（2008年）と死霊館（2013年）、どちらのホラー映画が全米興行収入が大きいですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'O', 'O']","['B-ORG', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O']","['Which', 'horror', 'movie', 'made', 'more', 'money', 'at', 'the', 'US', 'Box', 'Office', ',', 'The', 'Happening', '(', '2008', ')', 'or', 'The', 'Conjuring', '(', '2013', ')', '?']","['ハプニング', '（', '2008', '年', '）', 'と死霊館', '（', '2013', '年', '）', '、', 'どちらのホラー映画が全米興行収入が大きいですか', '？']"
"Which actor is taller, The Rock or Terry Crews?",ザ・ロックとテリー・クルーズでは、どちらが背が高い俳優ですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O']","['Which', 'actor', 'is', 'taller', ',', 'The', 'Rock', 'or', 'Terry', 'Crews', '?']","['ザ', '・', 'ロックとテリー', '・', 'クルーズでは', '、', 'どちらが背が高い俳優ですか', '？']"
Were Pixar's Soul and Onward released in the same year?,ピクサーのアニメ、ソウルフル・ワールドと2分の1の魔法は、同じ年に公開されましたか？,en,ja,"['O', 'B-ORG', 'B-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O']","['B-PERSON', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'O']","['Were', ""Pixar's"", 'Soul', 'and', 'Onward', 'released', 'in', 'the', 'same', 'year', '?']","['ピクサーのアニメ', '、', 'ソウルフル', '・', 'ワールドと2分の1の魔法は', '、', '同じ年に公開されましたか', '？']"
Did Tom Hanks get his first Academy Award nomination for Big or Sleepless in Seattle?,トム・ハンクスは「めぐりあえたら」で初めてアカデミー賞をとりましたか？,en,ja,"['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-ORDINAL', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-WORK_OF_ART', 'O', 'O', 'O']","['Did', 'Tom', 'Hanks', 'get', 'his', 'first', 'Academy', 'Award', 'nomination', 'for', 'Big', 'or', 'Sleepless', 'in', 'Seattle', '?']","['トム', '・', 'ハンクスは', '「', 'めぐりあえたら', '」', 'で初めてアカデミー賞をとりましたか', '？']"
Did Avengers: Endgame have a bigger budget than Avengers: Infinity War?,「アベンジャーズ: エンドゲーム」は「アベンジャーズ：インフィニティ・ウォー」 よりも予算が多かったですか？,en,ja,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O']","['Did', 'Avengers:', 'Endgame', 'have', 'a', 'bigger', 'budget', 'than', 'Avengers:', 'Infinity', 'War', '?']","['「', 'アベンジャーズ:', 'エンドゲーム', '」', 'は', '「', 'アベンジャーズ', '：', 'インフィニティ', '・', 'ウォー', '」', 'よりも予算が多かったですか', '？']"
"Who is older, Anna Faris or Jennifer Aniston?","""アンナ・ファリスとジェニファー・アニストンのどちらが年上ですか？""",en,ja,"['O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O']","['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O']","['Who', 'is', 'older', ',', 'Anna', 'Faris', 'or', 'Jennifer', 'Aniston', '?']","['""', 'アンナ', '・', 'ファリスとジェニファー', '・', 'アニストンのどちらが年上ですか', '？', '""']"
Is Leonardo DiCaprio taller than Joseph Gordon-Levitt?,レオナルド・ディカプリオはジョセフ・ゴードン⁼レヴィットより背が高いですか？,en,ja,"['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'O']","['Is', 'Leonardo', 'DiCaprio', 'taller', 'than', 'Joseph', 'Gordon', '-', 'Levitt', '?']","['レオナルド', '・', 'ディカプリオはジョセフ', '・', 'ゴードン', '⁼', 'レヴィットより背が高いですか', '？']"
"Which movie had a bigger budget, The Wizard of Oz or Gone With The Wind?","""「オズの魔法使い」と「風と共に去りぬ」、多額の制作費用がかかったのはどっち?""",en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Which', 'movie', 'had', 'a', 'bigger', 'budget', ',', 'The', 'Wizard', 'of', 'Oz', 'or', 'Gone', 'With', 'The', 'Wind', '?']","['""', '「', 'オズの魔法使い', '」', 'と', '「', '風と共に去りぬ', '」', '、', '多額の制作費用がかかったのはどっち', '?', '""']"
Did Iron Man 2 come out before Avengers: Age of Ultron?,「アイアンマン2」は「アベンジャーズ: エイジ・オブ・ウルトロン」 より前に上映されましたか？,en,ja,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O']","['Did', 'Iron', 'Man', '2', 'come', 'out', 'before', 'Avengers:', 'Age', 'of', 'Ultron', '?']","['「', 'アイアンマン2', '」', 'は', '「', 'アベンジャーズ:', 'エイジ', '・', 'オブ', '・', 'ウルトロン', '」', 'より前に上映されましたか', '？']"
Was The Godfather released after 1970?,"""「ゴッド・ファーザー」が公開されたのは1970年より後ですか？""",en,ja,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'B-DATE', 'O']","['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O']","['Was', 'The', 'Godfather', 'released', 'after', '1970', '?']","['""', '「', 'ゴッド', '・', 'ファーザー', '」', 'が公開されたのは1970年より後ですか', '？', '""']"
Were the box office earnings for The Wolf of Wall Street or Inception higher?,興行収入が多かったのは、ウルフ・オブ・ウォールストリートとインセプションのどちらですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'O', 'O']","['O', 'O', 'B-WORK_OF_ART', 'O', 'O', 'O', 'O', 'O']","['Were', 'the', 'box', 'office', 'earnings', 'for', 'The', 'Wolf', 'of', 'Wall', 'Street', 'or', 'Inception', 'higher', '?']","['興行収入が多かったのは', '、', 'ウルフ', '・', 'オブ', '・', 'ウォールストリートとインセプションのどちらですか', '？']"
Did Avengers or The Lion King have the highest budget in 2019?,2019年で最も高額な予算をかけたのは、アベンジャーズとライオンキングのどちらですか？,en,ja,"['O', 'B-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O']","['B-DATE', 'I-DATE', 'O', 'O', 'O']","['Did', 'Avengers', 'or', 'The', 'Lion', 'King', 'have', 'the', 'highest', 'budget', 'in', '2019', '?']","['2019', '年で最も高額な予算をかけたのは', '、', 'アベンジャーズとライオンキングのどちらですか', '？']"
