,source_text,target_text,source_lang,target_lang,source_text_ner,target_text_ner,source_text_ner_tokens,target_text_ner_tokens
3996,Which James Bond movie starred Sean Connery and was not produced by Eon Productions?,イーオン・プロダクションの制作ではなく、ショーン・コネリーが出演しているジェームズ・ボンドの映画はどれですか？,en,ja,"['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']","['B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O']","['Which', 'James', 'Bond', 'movie', 'starred', 'Sean', 'Connery', 'and', 'was', 'not', 'produced', 'by', 'Eon', 'Productions', '?']","['イーオン', '・', 'プロダクションの制作ではなく', '、', 'ショーン', '・', 'コネリーが出演しているジェームズ', '・', 'ボンドの映画はどれですか', '？']"
132,How many Academy Awards has Johnny Depp won?,Jonny Deepはアカデミー賞に何回受賞しましたか？,en,ja,"['O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O']","['B-PERSON', 'I-PERSON', 'O']","['How', 'many', 'Academy', 'Awards', 'has', 'Johnny', 'Depp', 'won', '?']","['Jonny', 'Deepはアカデミー賞に何回受賞しましたか', '？']"
1683,Which Chronicles of Narnia book is the shortest?,ナルニア国物語で一番短い本はどれ？,en,ja,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'O']","['B-NORP', 'O']","['Which', 'Chronicles', 'of', 'Narnia', 'book', 'is', 'the', 'shortest', '?']","['ナルニア国物語で一番短い本はどれ', '？']"
5798,What is the sickest city in the world?,世界で最も病んだ都市はどちらですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O']","['What', 'is', 'the', 'sickest', 'city', 'in', 'the', 'world', '?']","['世界で最も病んだ都市はどちらですか', '？']"
5495,Who won the World Series in 1980?,1980年のワールドシリーズで優勝したチームは？,en,ja,"['O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O', 'B-DATE', 'O']","['B-DATE', 'I-DATE', 'O']","['Who', 'won', 'the', 'World', 'Series', 'in', '1980', '?']","['1980', '年のワールドシリーズで優勝したチームは', '？']"
3207,How many American presidents were born in Iowa?,アイオワ州生まれのアメリカ大統領は何人？,en,ja,"['O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['B-GPE', 'O']","['How', 'many', 'American', 'presidents', 'were', 'born', 'in', 'Iowa', '?']","['アイオワ州生まれのアメリカ大統領は何人', '？']"
625,Which 2018 Grammy Award was Calvin Harris nominated for but did not win?,Calvin Harrisは2018年にどのグラミー賞に候補されたが入手できなかったでしょうか？,en,ja,"['O', 'B-DATE', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'O', 'O']","['Which', '2018', 'Grammy', 'Award', 'was', 'Calvin', 'Harris', 'nominated', 'for', 'but', 'did', 'not', 'win', '?']","['Calvin', 'Harrisは2018年にどのグラミー賞に候補されたが入手できなかったでしょうか', '？']"
4392,Is Stephen King older than R. L. Stine?,スティーヴン・キングはR・L・スタインより年上ですか？,en,ja,"['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'B-PERSON', 'I-PERSON', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O']","['Is', 'Stephen', 'King', 'older', 'than', 'R.', 'L.', 'Stine', '?']","['スティーヴン', '・', 'キングはR', '・', 'L', '・', 'スタインより年上ですか', '？']"
332,What was the third Lord of the Rings movie to be released?,「ロード・オブ・ザ・リング」シリーズ3作目の映画はどれですか？,en,ja,"['O', 'O', 'O', 'B-ORDINAL', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'O']","['B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O']","['What', 'was', 'the', 'third', 'Lord', 'of', 'the', 'Rings', 'movie', 'to', 'be', 'released', '?']","['「', 'ロード', '・', 'オブ', '・', 'ザ', '・', 'リング', '」', 'シリーズ3作目の映画はどれですか', '？']"
6402,What is the longest movie from 2003?,2003年の映画で、一番長かった作品は？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O']","['B-DATE', 'I-DATE', 'O', 'O', 'O']","['What', 'is', 'the', 'longest', 'movie', 'from', '2003', '?']","['2003', '年の映画で', '、', '一番長かった作品は', '？']"
1617,What is the first book in The Chronicles of Narnia?,ナルニア国物語の最初の本はなんですか？,en,ja,"['O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'O']","['What', 'is', 'the', 'first', 'book', 'in', 'The', 'Chronicles', 'of', 'Narnia', '?']","['ナルニア国物語の最初の本はなんですか', '？']"
743,When did Kirill Petrenko win his first International Opera Award?,キリル・ペトレンコが初めて国際オペラ賞を受賞したのはいつ？,en,ja,"['O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-ORDINAL', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['B-PERSON', 'O', 'O', 'O']","['When', 'did', 'Kirill', 'Petrenko', 'win', 'his', 'first', 'International', 'Opera', 'Award', '?']","['キリル', '・', 'ペトレンコが初めて国際オペラ賞を受賞したのはいつ', '？']"
4684,What is the largest lake in miles squared in the United Kingdom?,イギリスで平方マイルで最も大きな湖は何でしょうか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O']","['O', 'O']","['What', 'is', 'the', 'largest', 'lake', 'in', 'miles', 'squared', 'in', 'the', 'United', 'Kingdom', '?']","['イギリスで平方マイルで最も大きな湖は何でしょうか', '？']"
866,Is Russell Wilson older than Aaron Rodgers?,ラッセル・ウィルソンはアーロン・ロジャースより年上ですか？,en,ja,"['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O']","['Is', 'Russell', 'Wilson', 'older', 'than', 'Aaron', 'Rodgers', '?']","['ラッセル', '・', 'ウィルソンはアーロン', '・', 'ロジャースより年上ですか', '？']"
4628,What is the capital of the state where the tallest mountain in the Pacific Northwest of the United States is located?,アメリカ合衆国の太平洋北西部で最も高い山がある州の州都は何ですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O', 'O', 'O']","['O', 'O']","['What', 'is', 'the', 'capital', 'of', 'the', 'state', 'where', 'the', 'tallest', 'mountain', 'in', 'the', 'Pacific', 'Northwest', 'of', 'the', 'United', 'States', 'is', 'located', '?']","['アメリカ合衆国の太平洋北西部で最も高い山がある州の州都は何ですか', '？']"
4536,How many official languages are there in the Philippines?,フィリピンにはいくつの公用語がありますか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['B-GPE', 'O']","['How', 'many', 'official', 'languages', 'are', 'there', 'in', 'the', 'Philippines', '?']","['フィリピンにはいくつの公用語がありますか', '？']"
5386,Where is B. B. King from?,B.B.キングはどこ出身ですか？,en,ja,"['O', 'O', 'B-PERSON', 'B-PERSON', 'I-PERSON', 'O', 'O']","['B-PERSON', 'O']","['Where', 'is', 'B.', 'B.', 'King', 'from', '?']","['B.B.キングはどこ出身ですか', '？']"
79,"Who is older, Clint Eastwood or Cuba Gooding Jr.?","""クリント・イーストウッドとキューバ・グッディング・ジュニアでは、どちらが年上でしょう?""",en,ja,"['O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O']","['O', 'B-GPE', 'I-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Who', 'is', 'older', ',', 'Clint', 'Eastwood', 'or', 'Cuba', 'Gooding', 'Jr.', '?']","['""', 'クリント', '・', 'イーストウッドとキューバ', '・', 'グッディング', '・', 'ジュニアでは', '、', 'どちらが年上でしょう', '?', '""']"
6995,How many oceans are in the world?,世界にはいくつの海洋がありますか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O']","['How', 'many', 'oceans', 'are', 'in', 'the', 'world', '?']","['世界にはいくつの海洋がありますか', '？']"
6074,In what year did the US most recently invade Iraq?,アメリカは何年にイラクに侵攻しましたか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'B-GPE', 'O']","['B-GPE', 'O']","['In', 'what', 'year', 'did', 'the', 'US', 'most', 'recently', 'invade', 'Iraq', '?']","['アメリカは何年にイラクに侵攻しましたか', '？']"
5773,"What is the population of Mexico City, Mexico?",メキシコのメキシコシティの人口は何人でしょうか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'B-GPE', 'O']","['O', 'O']","['What', 'is', 'the', 'population', 'of', 'Mexico', 'City', ',', 'Mexico', '?']","['メキシコのメキシコシティの人口は何人でしょうか', '？']"
6025,When did the Vietnam War begin?,ベトナム戦争はいつ始まったのですか？,en,ja,"['O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O', 'O']","['B-EVENT', 'O']","['When', 'did', 'the', 'Vietnam', 'War', 'begin', '?']","['ベトナム戦争はいつ始まったのですか', '？']"
5576,In what year was the first A Song of Ice and Fire book published?,「氷と炎の歌」の初版本が出版された年は何年ですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O']","['B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['In', 'what', 'year', 'was', 'the', 'first', 'A', 'Song', 'of', 'Ice', 'and', 'Fire', 'book', 'published', '?']","['「', '氷と炎の歌', '」', 'の初版本が出版された年は何年ですか', '？']"
1582,What country was the winner of the first Nobel Prize in Literature from?,ノーベル文学賞の初代受賞者の国籍はどこ？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O']","['O', 'O']","['What', 'country', 'was', 'the', 'winner', 'of', 'the', 'first', 'Nobel', 'Prize', 'in', 'Literature', 'from', '?']","['ノーベル文学賞の初代受賞者の国籍はどこ', '？']"
4997,Which Backstreet Boys songs were not on the U.S. Charts?,USチャートに載っていないバックストリートボーイズの曲はどれですか？,en,ja,"['O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O']","['O', 'O']","['Which', 'Backstreet', 'Boys', 'songs', 'were', 'not', 'on', 'the', 'U.S.', 'Charts', '?']","['USチャートに載っていないバックストリートボーイズの曲はどれですか', '？']"
1372,"Which book was released by Douglas Adams first, The Hitchhiker's Guide to the Galaxy or Life, the Universe and Everything?","""ダグラス・アダムズが最初にリリースした本は、「銀河ヒッチハイク・ガイド」と「宇宙クリケット大戦争」のどちらですか？""",en,ja,"['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'B-ORDINAL', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O']","['Which', 'book', 'was', 'released', 'by', 'Douglas', 'Adams', 'first', ',', 'The', ""Hitchhiker's"", 'Guide', 'to', 'the', 'Galaxy', 'or', 'Life', ',', 'the', 'Universe', 'and', 'Everything', '?']","['""', 'ダグラス', '・', 'アダムズが最初にリリースした本は', '、', '「', '銀河ヒッチハイク', '・', 'ガイド', '」', 'と', '「', '宇宙クリケット大戦争', '」', 'のどちらですか', '？', '""']"
4733,Is Ottawa the capital of Canada?,オタワはカナダの首都ですか？,en,ja,"['O', 'B-GPE', 'O', 'O', 'O', 'B-GPE', 'O']","['B-GPE', 'O']","['Is', 'Ottawa', 'the', 'capital', 'of', 'Canada', '?']","['オタワはカナダの首都ですか', '？']"
5525,Who was the first Super Bowl MVP?,初のスーパーボウルMVPは誰ですか？,en,ja,"['O', 'O', 'O', 'B-ORDINAL', 'B-EVENT', 'I-EVENT', 'O', 'O']","['O', 'O']","['Who', 'was', 'the', 'first', 'Super', 'Bowl', 'MVP', '?']","['初のスーパーボウルMVPは誰ですか', '？']"
2045,What is the only country that borders the United Kingdom and is an independent country?,イギリスと接している唯一の独立国家はどこですか?,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O']","['What', 'is', 'the', 'only', 'country', 'that', 'borders', 'the', 'United', 'Kingdom', 'and', 'is', 'an', 'independent', 'country', '?']","['イギリスと接している唯一の独立国家はどこですか', '?']"
2882,Are there more Mario Golf games or Mario Baseball games?,マリオのゴルフゲームか野球ゲームはもっとある?,en,ja,"['O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O']","['B-PERSON', 'O']","['Are', 'there', 'more', 'Mario', 'Golf', 'games', 'or', 'Mario', 'Baseball', 'games', '?']","['マリオのゴルフゲームか野球ゲームはもっとある', '?']"
4553,How many counties are in Africa?,アフリカには何国がありますか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']","['B-LOC', 'O']","['How', 'many', 'counties', 'are', 'in', 'Africa', '?']","['アフリカには何国がありますか', '？']"
3989,What 2003 Tim Burton movie did not feature Johnny Depp?,ティム・バートンの2003年の映画で、ジョニー・ディップが出ていないのは?,en,ja,"['O', 'B-DATE', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O']","['What', '2003', 'Tim', 'Burton', 'movie', 'did', 'not', 'feature', 'Johnny', 'Depp', '?']","['ティム', '・', 'バートンの2003年の映画で', '、', 'ジョニー', '・', 'ディップが出ていないのは', '?']"
6780,"Who served longer as prime minister of the UK, Margaret Thatcher or Tony Blair?","""マーガレット・サッチャーとトニー・ブレアでは、どちらの方が首相として長くつとめましたか？""",en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O']","['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O']","['Who', 'served', 'longer', 'as', 'prime', 'minister', 'of', 'the', 'UK', ',', 'Margaret', 'Thatcher', 'or', 'Tony', 'Blair', '?']","['""', 'マーガレット', '・', 'サッチャーとトニー', '・', 'ブレアでは', '、', 'どちらの方が首相として長くつとめましたか', '？', '""']"
4546,How many mountain ranges are there in Mexico?,メキシコにはいくつの山脈がありますか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['B-GPE', 'O']","['How', 'many', 'mountain', 'ranges', 'are', 'there', 'in', 'Mexico', '?']","['メキシコにはいくつの山脈がありますか', '？']"
1499,Which Harry Potter books do not feature the living Cedric Diggory?,生きているセドリック・ディゴリーが登場しないハリー・ポッターの本はどれか？,en,ja,"['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O']","['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O']","['Which', 'Harry', 'Potter', 'books', 'do', 'not', 'feature', 'the', 'living', 'Cedric', 'Diggory', '?']","['生きているセドリック', '・', 'ディゴリーが登場しないハリー', '・', 'ポッターの本はどれか', '？']"
